job_title,company,location,career,experience,skills
Frontend Developer,TCS,Chennai,Web Developer,0-2 Years,"HTML,CSS,JavaScript"
Backend Python Developer,Infosys,Bangalore,Software Developer,0-2 Years,"Python,SQL"
Full Stack Developer,Zoho,Chennai,Web Developer,1-3 Years,"HTML,CSS,JavaScript,Python"
Web Application Developer,Accenture,Hyderabad,Web Developer,0-2 Years,"HTML,CSS,JavaScript"
Software Engineer,Cognizant,Chennai,Software Developer,0-2 Years,"Java,Python"
Python Developer,Wipro,Bangalore,Software Developer,1-3 Years,"Python,SQL"
Java Developer,HCL,Noida,Software Developer,0-2 Years,"Java,SQL"
Machine Learning Engineer,IBM,Bangalore,ML Engineer,1-3 Years,"Python,Machine Learning,TensorFlow"
AI Engineer,Google,Hyderabad,ML Engineer,2-5 Years,"Python,Deep Learning,TensorFlow"
Deep Learning Engineer,Intel,Bangalore,ML Engineer,2-5 Years,"Python,PyTorch,TensorFlow"
Computer Vision Engineer,NVIDIA,Pune,ML Engineer,2-5 Years,"Python,OpenCV,Deep Learning"
Data Scientist,Deloitte,Bangalore,Data Scientist,1-3 Years,"Python,SQL,Machine Learning"
Junior Data Scientist,Capgemini,Chennai,Data Scientist,0-2 Years,"Python,SQL,Data Analysis"
AI Research Assistant,TCS Research,Bangalore,Data Scientist,0-2 Years,"Python,Machine Learning"
Data Analyst,Infosys,Pune,Data Analyst,0-2 Years,"Excel,SQL,Python"
Business Data Analyst,Wipro,Hyderabad,Data Analyst,1-3 Years,"Excel,SQL,Power BI"
Reporting Analyst,Accenture,Chennai,Data Analyst,0-2 Years,"Excel,SQL"
Business Analyst,Deloitte,Bangalore,Business Analyst,1-3 Years,"Communication,Excel,Leadership"
Associate Consultant,KPMG,Hyderabad,Business Analyst,0-2 Years,"Communication,SQL"
Operations Analyst,Cognizant,Chennai,Business Analyst,0-2 Years,"Excel,Communication"
